loss_fn,kappa,alpha,lr,dropout,patch_size,batch_size,n_layers,base_channels,weight_decay,global_mae,global_rmse,city_mae,city_rmse,train_city_rmse,city_underprediction,pred_max
huber,28,1.5,1.335219247357289e-05,0.1,8,32,3,32,3.659403002704206e-05,0.10262381285429001,0.10731524229049683,0.06891431659460068,0.10514087229967117,0.15999732911586761,0.03266187384724617,0.7547789812088013
huber,5,2.75,1.3735422953024717e-05,0.1,8,32,2,32,0.00026400900998699663,0.14456483721733093,0.14879828691482544,0.05857687070965767,0.0840398520231247,0.15749123692512512,-1.8591108528198674e-05,0.32954153418540955
huber,5,1.5,4.5818656580074415e-05,0.2,8,16,3,32,2.8849091276774107e-06,0.13621960580348969,0.14064247906208038,0.06637390702962875,0.09322164207696915,0.1595289558172226,-0.008603178896009922,0.43453249335289
weighted_mse,5,3.5,0.0009698553778556324,0.1,8,16,2,32,5.670991072639543e-06,0.022354453802108765,0.03316456452012062,0.09808466583490372,0.12440607696771622,0.13684312999248505,0.09290625154972076,0.3217155337333679
weibull,15,3.5,0.0009923838016080591,0.1,8,32,2,32,1.694806831988139e-05,0.021286536008119583,0.0321962870657444,0.10338007658720016,0.12609514594078064,0.14762943983078003,0.09763116389513016,0.3342743217945099
weighted_mse,45,2.75,3.244254009638692e-05,0.1,8,32,2,32,0.00047209707462910063,0.18195635080337524,0.18686272203922272,0.061089545488357544,0.08327879756689072,0.14096489548683167,-0.011236358433961868,0.3292514383792877
weighted_mse,5,1.5,0.0004339587126396761,0.1,8,32,3,32,0.0006485245408888002,0.027970070019364357,0.0369626022875309,0.09867154061794281,0.11994443833827972,0.1342640072107315,0.05438348278403282,0.3219233453273773
weibull,15,2,1.563832760789278e-05,0.3,8,32,3,32,0.0005384053921888964,0.16580647230148315,0.1689424067735672,0.05844008922576904,0.08059713989496231,0.16936445236206055,-0.0075535522773861885,0.28848734498023987
weibull,5,3.5,4.72887107724515e-05,0.2,8,16,2,32,0.00034880181757812243,0.1459140032529831,0.14993952214717865,0.06180630996823311,0.08400532603263855,0.18877336382865906,-0.014172554016113281,0.36054348945617676
weibull,45,3.5,0.00010561746410438874,0.3,8,16,3,32,5.638051928763974e-06,0.06723899394273758,0.07200896739959717,0.08708720654249191,0.11688563227653503,0.15640248358249664,0.08444119244813919,0.20353442430496216
weighted_mse,45,2.75,0.0006775702550737438,0.2,8,32,2,32,2.186114186453078e-05,0.020682036876678467,0.032054245471954346,0.09826274961233139,0.12430212646722794,0.1338302046060562,0.09458370506763458,0.27786993980407715
weighted_mse,5,1.5,1.6228627541736902e-05,0.1,8,16,2,32,0.0004599215174805847,0.18177732825279236,0.1869996339082718,0.06172094866633415,0.08469198644161224,0.14517462253570557,-0.010558624751865864,0.3284626007080078
huber,28,2.75,5.665992297229332e-05,0.2,8,16,3,32,0.00019092043777558013,0.10684909671545029,0.1107139065861702,0.05961206927895546,0.09131234884262085,0.1505310982465744,0.04104539006948471,0.27352675795555115
weighted_mse,28,2.75,0.0008355979053150964,0.2,8,32,3,32,0.000873149324395094,0.035072240978479385,0.041782040148973465,0.09516481310129166,0.118709497153759,0.13748592138290405,0.08664097636938095,0.2789557874202728
